Timestamp,Market,Taker,Maker,Type,Outcome,Direction,Amount,Shares,Price,,
"11/09/2023, 1:41:48",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x9a3c217f,0x209c21d4,Buy,No,❌,$24.00,500,0.048,📖,Tx
"11/09/2023, 1:41:48",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$24.00,500,0.048,📖,Tx
"11/09/2023, 1:41:00",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x9a3c217f,0x3cf3e8d5,Sell,Yes,❌,$105.78,111,0.953,📖,Tx
"11/09/2023, 1:41:00",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$5.22,111,0.047,📖,Tx
"11/09/2023, 1:40:26",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$0.01,0.23,0.04,📖,Tx
"11/09/2023, 1:40:26",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x9a3c217f,0xe2b1fc26,Sell,Yes,❌,$0.22,0.23,0.96,📖,Tx
"11/09/2023, 1:34:22",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$17.72,443,0.04,📖,Tx
"11/09/2023, 1:34:22",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x9a3c217f,0xe2b1fc26,Sell,Yes,❌,$425.28,443,0.96,📖,Tx
"11/09/2023, 1:32:00",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$10.00,256.41,0.039,📖,Tx
"11/09/2023, 1:32:00",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x9a3c217f,0xe06500a1,Buy,No,❌,$7.80,200,0.039,📖,Tx
"11/09/2023, 1:32:00",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x9a3c217f,0x3cf3e8d5,Sell,Yes,❌,$54.21,56.41,0.961,📖,Tx
"11/09/2023, 1:24:07",Will Sweden join NATO by October 31?,0x9a3c217f,0x3cf3e8d5,Sell,No,✅,$15.40,55,0.28,📖,Tx
"11/09/2023, 1:24:07",Will Sweden join NATO by October 31?,0x4bfb41d5,0x9a3c217f,Sell,Yes,❌,$39.60,55,0.72,📖,Tx
"11/09/2023, 1:23:08","BTC above $23,456.78 at end of September?",0x9a3c217f,0x47bc4b50,Sell,No,✅,$9.00,90,0.1,📖,Tx
"11/09/2023, 1:23:08","BTC above $23,456.78 at end of September?",0x4bfb41d5,0x9a3c217f,Sell,Yes,❌,$81.00,90,0.9,📖,Tx
"11/09/2023, 1:19:14","BTC above $23,456.78 at end of September?",0x9a3c217f,0x3922df6b,Sell,No,✅,$3.00,20,0.15,📖,Tx
"11/09/2023, 1:19:14","BTC above $23,456.78 at end of September?",0x4bfb41d5,0x9a3c217f,Sell,Yes,❌,$17.00,20,0.85,📖,Tx
"11/09/2023, 1:13:54",Will Sweden join NATO by October 31?,0x9a3c217f,0x3cf3e8d5,Sell,No,✅,$17.05,55,0.31,📖,Tx
"11/09/2023, 1:13:54",Will Sweden join NATO by October 31?,0x4bfb41d5,0x9a3c217f,Sell,Yes,❌,$37.95,55,0.69,📖,Tx
"11/09/2023, 0:53:33",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x4bfb41d5,0x9a3c217f,Sell,No,✅,$20.00,521.36,0.0384,📖,Tx
"11/09/2023, 0:53:33",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x9a3c217f,0x3cf3e8d5,Sell,Yes,❌,$181.01,188.36,0.961,📖,Tx
"11/09/2023, 0:53:33",Will 'Taylor Swift: The Eras Tour' movie gross over $100m opening weekend?,0x9a3c217f,0x3cf3e8d5,Sell,Yes,❌,$320.35,333,0.962,📖,Tx
"11/09/2023, 0:31:14",Military intervention in Niger by September 15?,0x4bfb41d5,0x9a3c217f,Sell,Yes,❌,$13.50,150,0.09,📖,Tx
"11/09/2023, 0:31:14",Military intervention in Niger by September 15?,0x9a3c217f,0x9d8a5a60,Buy,Yes,✅,$13.50,150,0.09,📖,Tx
